Band,Label,R@1 (ablated),R@5 (ablated),R@10 (ablated),ΔR@1,ΔR@10,mAP (ablated)
ALL (baseline),13 bands,87.36110925674438,97.36111164093018,98.28703999519348,0.0,0.0,44.90073752710251
B01,B01 Coastal,88.19444179534912,97.31481671333313,98.19444417953491,-0.8333325386047363,0.09259581565856934,44.60289835584936
B08,B08 NIR,86.29629611968994,96.89815044403076,98.28703999519348,1.0648131370544434,0.0,41.908573925115725
B05,B05 RE-1,88.70370388031006,97.45370149612427,98.37962985038757,-1.3425946235656738,-0.0925898551940918,44.616296478133236
B10,B10 Cirrus,87.45370507240295,96.99074029922485,98.37962985038757,-0.09259581565856934,-0.0925898551940918,44.73719239717832
B09,B09 WV,88.5185182094574,97.36111164093018,98.47221970558167,-1.1574089527130127,-0.1851797103881836,45.61566680393837
B02,B02 Blue,87.77777552604675,97.31481671333313,98.51852059364319,-0.41666626930236816,-0.23148059844970703,43.77424183836276
B04,B04 Red,87.36110925674438,97.22222089767456,98.51852059364319,0.0,-0.23148059844970703,43.55258698161278
B11,B11 SWIR-1,88.33333253860474,97.22222089767456,98.51852059364319,-0.9722232818603516,-0.23148059844970703,44.87641179778923
B06,B06 RE-2,87.96296119689941,97.08333611488342,98.56481552124023,-0.6018519401550293,-0.27777552604675293,44.555564606044854
B8A,B8A NIR-N,87.68518567085266,97.31481671333313,98.56481552124023,-0.32407641410827637,-0.27777552604675293,45.24196192656678
B07,B07 RE-3,88.33333253860474,97.22222089767456,98.65740537643433,-0.9722232818603516,-0.3703653812408447,44.430700667133486
B12,B12 SWIR-2,88.56481313705444,97.17592597007751,98.65740537643433,-1.2037038803100586,-0.3703653812408447,44.35626469104103
B03,B03 Green,88.19444179534912,97.45370149612427,98.70370626449585,-0.8333325386047363,-0.41666626930236816,44.15429581301632
