Band,ΔR@10,t_statistic,p_value_raw,p_value_bonferroni,significant_0.05,CI_lower,CI_upper,mean_diff
B01,0.09259581565856934,0.44713078562119307,0.6548254833230698,1.0,False,-0.27777778450399637,0.46296296641230583,0.09259259095415473
B08,0.0,0.0,1.0,1.0,False,-0.6018518470227718,0.5555555690079927,0.0
B05,-0.0925898551940918,-0.4999132019628369,0.6171871410815717,1.0,False,-0.41666668839752674,0.27777778450399637,-0.09259259095415473
B10,-0.0925898551940918,-0.5344340825300207,0.5930962714337898,1.0,False,-0.41666668839752674,0.23148148320615292,-0.09259259095415473
B09,-0.1851797103881836,-0.8164334909140597,0.4143423192489172,1.0,False,-0.6481481250375509,0.23148148320615292,-0.18518518190830946
B02,-0.23148059844970703,-1.2911938192331915,0.1967747053129289,1.0,False,-0.5567129759583612,0.13888889225199819,-0.23148148320615292
B04,-0.23148059844970703,-1.091137651279873,0.2753340712912316,1.0,False,-0.6481481250375509,0.18518518190830946,-0.23148148320615292
B11,-0.23148059844970703,-1.2911938192331915,0.1967747053129289,1.0,False,-0.6018518470227718,0.13888889225199819,-0.23148148320615292
B06,-0.27777552604675293,-1.5004344628332804,0.13364811496239087,1.0,False,-0.6481481250375509,0.09259259095415473,-0.27777778450399637
B8A,-0.27777552604675293,-1.414541185844411,0.15734726020366266,1.0,False,-0.6493055331520726,0.09259259095415473,-0.27777778450399637
B07,-0.3703653812408447,-1.7063603174634805,0.08808482564888238,1.0,False,-0.7881944603286672,0.046296295477077365,-0.3703703638166189
B12,-0.3703653812408447,-2.0013910312549683,0.04547520918195777,0.591177719365451,False,-0.7407407276332378,-0.046296295477077365,-0.3703703638166189
B03,-0.41666626930236816,-2.184726286457694,0.029016118201745333,0.3772095366226893,False,-0.7870370522141457,-0.046296295477077365,-0.41666668839752674
