class,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12,n_samples
AnnualCrop,0.3436,0.1333,0.1311,0.1893,0.1510,0.2098,0.2637,0.3408,0.4081,0.8752,0.2021,0.1481,0.2798,200
Forest,0.3367,0.2368,0.1215,0.1079,0.2555,0.1372,0.2382,0.9190,0.2775,0.4451,0.1430,0.1818,0.2955,200
HerbaceousVegetation,0.2536,0.2325,0.3060,0.4624,0.2639,0.2681,0.2502,0.7173,0.2521,0.6875,0.1919,0.2234,0.2392,200
Highway,0.3925,0.2477,0.2870,0.4332,0.2235,0.1212,0.1418,0.9055,0.3536,0.3078,0.1490,0.1757,0.1451,200
Industrial,0.2880,0.6263,0.7005,0.7523,0.1475,0.1187,0.0652,0.9448,0.2864,0.2166,0.1642,0.1575,0.0364,200
Pasture,0.3754,0.2156,0.1329,0.0993,0.1899,0.1567,0.2928,0.9519,0.2703,0.2288,0.1021,0.1510,0.3331,200
PermanentCrop,0.3724,0.3212,0.4640,0.6967,0.2106,0.2663,0.2492,0.7465,0.3840,0.3776,0.2123,0.1893,0.2441,200
Residential,0.4222,0.4475,0.5337,0.7513,0.3411,0.2024,0.1431,0.9221,0.4244,0.1489,0.2783,0.2378,0.1321,200
River,0.4416,0.2092,0.2013,0.2525,0.1981,0.1377,0.2097,0.8646,0.2861,0.4104,0.1159,0.1675,0.2437,200
SeaLake,0.4800,0.6135,0.5554,0.3406,0.2875,0.1849,0.1925,0.2002,0.6455,0.8525,0.5967,0.6221,0.1962,200
