class,n_samples,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12
AnnualCrop,30,0.36287,0.18821,0.21369,0.23375,0.1642,0.20224,0.24122,0.42463,0.43273,0.76707,0.19717,0.12846,0.2613
Forest,30,0.33724,0.23594,0.15621,0.10007,0.26792,0.12404,0.24419,0.95047,0.30883,0.42661,0.14001,0.14599,0.31938
HerbaceousVegetation,30,0.21207,0.23297,0.29821,0.45668,0.26524,0.2339,0.22192,0.68043,0.24658,0.76758,0.21085,0.23212,0.2017
Highway,30,0.40314,0.28054,0.27201,0.42095,0.25169,0.09343,0.08517,0.91367,0.36571,0.34357,0.16585,0.20399,0.09413
Industrial,30,0.34031,0.59239,0.64042,0.73364,0.15346,0.09696,0.04634,0.89753,0.33148,0.27425,0.19402,0.20294,0.01667
Pasture,30,0.41099,0.22068,0.1457,0.10491,0.21335,0.16236,0.32742,0.97617,0.32118,0.16082,0.07949,0.1375,0.38799
PermanentCrop,30,0.33034,0.25218,0.40986,0.69306,0.21009,0.28775,0.27636,0.74159,0.33891,0.32582,0.21902,0.19496,0.27251
Residential,30,0.37099,0.43513,0.5415,0.71775,0.33966,0.16108,0.10129,0.94685,0.37788,0.12015,0.28335,0.26718,0.08332
River,30,0.43578,0.23255,0.19509,0.24849,0.21972,0.14315,0.22932,0.89958,0.28693,0.4156,0.13343,0.15816,0.27467
SeaLake,30,0.54081,0.68407,0.6544,0.364,0.31144,0.17519,0.19238,0.21454,0.647,0.81578,0.64019,0.64511,0.27121
