query_index,num_active_labels,num_relevant_gallery,AP_percent,first_hit_rank,hit@1,hit@5,hit@10
0,2,5218,69.55845952033997,1,True,True,True
1,2,5218,55.840808153152466,1,True,True,True
2,3,8132,89.92345333099365,1,True,True,True
3,4,9038,93.72437000274658,1,True,True,True
4,3,7284,88.86988162994385,1,True,True,True
5,4,9290,92.48806834220886,1,True,True,True
6,1,4518,49.816662073135376,1,True,True,True
7,1,3721,44.48091387748718,1,True,True,True
8,3,6789,62.76322603225708,1,True,True,True
9,1,4518,57.1028470993042,1,True,True,True
10,2,5629,77.93381810188293,1,True,True,True
11,5,8915,87.40577697753906,1,True,True,True
12,2,5218,60.673242807388306,2,False,True,True
13,1,3218,49.43170249462128,1,True,True,True
14,3,5738,61.94727420806885,1,True,True,True
15,6,9855,99.18537735939026,1,True,True,True
16,3,7249,70.3035056591034,1,True,True,True
17,3,5869,80.60184121131897,1,True,True,True
18,3,8433,84.90474820137024,1,True,True,True
19,3,6207,74.51964616775513,1,True,True,True
20,3,5665,63.560569286346436,1,True,True,True
21,3,5738,62.4095618724823,1,True,True,True
22,4,7481,70.557302236557,2,False,True,True
23,2,6123,60.72999835014343,1,True,True,True
24,3,4754,58.25819969177246,1,True,True,True
25,1,3721,55.446940660476685,1,True,True,True
26,3,8500,86.7668867111206,1,True,True,True
27,3,7507,83.46705436706543,1,True,True,True
28,2,5218,65.49346446990967,1,True,True,True
29,5,8169,91.00686311721802,1,True,True,True
30,1,3721,49.240368604660034,1,True,True,True
31,1,3990,51.393359899520874,2,False,True,True
32,3,7249,69.06842589378357,1,True,True,True
33,2,5218,71.42392992973328,1,True,True,True
34,2,5556,67.72404909133911,1,True,True,True
35,2,7227,75.24514198303223,1,True,True,True
36,3,6320,68.14448237419128,3,False,True,True
37,2,5629,82.43168592453003,1,True,True,True
38,2,5218,62.432390451431274,1,True,True,True
39,2,5218,64.25053477287292,1,True,True,True
40,2,5629,46.23178541660309,2,False,True,True
41,2,5556,61.224907636642456,1,True,True,True
42,3,8132,78.37141752243042,1,True,True,True
43,4,8939,92.14569926261902,1,True,True,True
44,2,4507,50.76775550842285,1,True,True,True
45,3,8500,85.47565340995789,1,True,True,True
46,2,5218,69.01776194572449,1,True,True,True
47,5,7616,86.00461483001709,1,True,True,True
48,3,8185,83.78211855888367,1,True,True,True
49,3,6684,69.08236145973206,1,True,True,True
50,1,2319,37.65875995159149,1,True,True,True
51,4,7764,87.05829381942749,1,True,True,True
52,1,4518,37.83339262008667,1,True,True,True
53,3,5869,81.04311227798462,1,True,True,True
54,4,8723,94.04359459877014,1,True,True,True
55,2,5218,65.03193378448486,1,True,True,True
56,5,8465,90.88255167007446,1,True,True,True
57,2,5762,65.07642269134521,1,True,True,True
58,2,3218,55.76486587524414,1,True,True,True
59,1,2319,52.261555194854736,1,True,True,True
60,1,3721,50.345128774642944,1,True,True,True
61,1,3721,50.34093260765076,1,True,True,True
62,2,4884,56.472933292388916,1,True,True,True
63,1,3721,48.94815683364868,1,True,True,True
64,1,4518,36.00921332836151,3,False,True,True
65,2,5218,56.36981129646301,1,True,True,True
66,2,3218,52.196407318115234,1,True,True,True
67,3,7453,85.78469753265381,1,True,True,True
68,4,8805,88.61243724822998,1,True,True,True
69,2,5218,66.35682582855225,1,True,True,True
70,3,6444,84.23359990119934,1,True,True,True
71,4,8778,92.47394800186157,1,True,True,True
72,2,4062,59.07585620880127,1,True,True,True
73,5,7616,84.37841534614563,1,True,True,True
74,1,2319,18.83392333984375,1,True,True,True
75,4,8704,93.32863688468933,1,True,True,True
76,2,5092,73.02244305610657,1,True,True,True
77,4,8755,90.83443284034729,1,True,True,True
78,2,5218,62.1398389339447,1,True,True,True
79,1,3218,40.94778001308441,1,True,True,True
80,3,7284,74.1829514503479,1,True,True,True
81,1,3721,40.41319787502289,2,False,True,True
82,4,8903,92.0186996459961,1,True,True,True
83,2,7338,78.0281662940979,1,True,True,True
84,3,6003,83.14198851585388,1,True,True,True
85,3,6789,74.47484135627747,1,True,True,True
86,2,5218,61.80010437965393,1,True,True,True
87,2,7338,80.45480251312256,1,True,True,True
88,1,4518,47.146570682525635,1,True,True,True
89,1,4518,70.1983094215393,1,True,True,True
90,2,5591,72.06011414527893,1,True,True,True
91,4,7089,81.50365352630615,1,True,True,True
92,3,6789,80.43172955513,1,True,True,True
93,1,1551,47.55563735961914,1,True,True,True
94,2,5715,64.62223529815674,1,True,True,True
95,1,4518,55.565786361694336,1,True,True,True
96,1,3218,48.102474212646484,1,True,True,True
97,4,8484,91.45601391792297,1,True,True,True
98,1,3218,50.49663782119751,1,True,True,True
99,4,7393,82.60944485664368,1,True,True,True
100,2,5218,66.6443943977356,1,True,True,True
101,2,5218,66.17429256439209,1,True,True,True
102,1,4518,57.19033479690552,2,False,True,True
103,2,5761,66.09545350074768,1,True,True,True
104,4,7468,78.17153334617615,1,True,True,True
105,2,4884,49.39131736755371,1,True,True,True
106,4,8657,91.67239665985107,1,True,True,True
107,2,5218,68.19924116134644,1,True,True,True
108,5,9203,93.27139854431152,1,True,True,True
109,1,3721,42.600542306900024,1,True,True,True
110,3,7157,62.49226927757263,1,True,True,True
111,2,5218,67.37052798271179,1,True,True,True
112,1,4518,55.086588859558105,1,True,True,True
113,4,7468,73.02650213241577,1,True,True,True
114,4,8939,92.15216040611267,1,True,True,True
115,4,7481,69.60441470146179,1,True,True,True
116,3,6003,85.18862128257751,1,True,True,True
117,1,3721,46.77843749523163,1,True,True,True
118,2,5218,58.46668481826782,1,True,True,True
119,3,6804,77.72284150123596,1,True,True,True
120,3,5645,62.930482625961304,1,True,True,True
121,2,3329,42.51985847949982,1,True,True,True
122,2,7227,80.46170473098755,1,True,True,True
123,3,6397,85.16011834144592,1,True,True,True
124,3,7284,86.16767525672913,1,True,True,True
125,3,6804,76.35474801063538,1,True,True,True
126,1,3721,45.79925239086151,1,True,True,True
127,2,6385,65.16590714454651,1,True,True,True
128,1,4518,65.45278429985046,1,True,True,True
129,2,3218,46.82803452014923,1,True,True,True
130,3,6804,68.38873624801636,1,True,True,True
131,3,8500,86.48372292518616,2,False,True,True
132,1,3721,49.76029694080353,1,True,True,True
133,1,4518,54.77650165557861,1,True,True,True
134,5,8474,93.77442002296448,1,True,True,True
135,2,5218,66.63288474082947,1,True,True,True
136,1,4518,54.77997660636902,1,True,True,True
137,2,5218,56.39076232910156,2,False,True,True
138,2,4249,56.92290663719177,1,True,True,True
139,2,5218,66.41603112220764,1,True,True,True
140,1,3721,49.724915623664856,1,True,True,True
141,3,7507,84.87484455108643,1,True,True,True
142,4,8397,86.28051280975342,1,True,True,True
143,4,8772,91.58666729927063,1,True,True,True
144,2,5218,66.08989834785461,1,True,True,True
145,1,4518,51.23600959777832,1,True,True,True
146,1,4518,37.69797682762146,2,False,True,True
147,2,5629,42.71522760391235,1,True,True,True
148,5,9254,96.78320288658142,1,True,True,True
149,1,4518,44.73583400249481,1,True,True,True
150,2,6385,62.441831827163696,2,False,True,True
151,7,9919,99.42831993103027,1,True,True,True
152,4,8484,91.4866030216217,1,True,True,True
153,3,5525,69.19585466384888,1,True,True,True
154,3,4590,47.40358293056488,1,True,True,True
155,2,6243,76.99859142303467,1,True,True,True
156,5,9348,93.8036859035492,1,True,True,True
157,2,5218,59.75115895271301,1,True,True,True
158,1,3218,36.48820519447327,1,True,True,True
159,2,5218,63.1106436252594,1,True,True,True
160,2,5218,65.66316485404968,1,True,True,True
161,2,5218,67.13770031929016,1,True,True,True
162,4,7481,71.76811695098877,1,True,True,True
163,2,5629,46.23546004295349,2,False,True,True
164,2,4249,57.01085925102234,1,True,True,True
165,4,8939,91.21541976928711,1,True,True,True
166,1,4518,36.15222871303558,2,False,True,True
167,2,6123,71.86067700386047,1,True,True,True
168,4,7481,77.30216383934021,1,True,True,True
169,3,8132,87.5678539276123,1,True,True,True
170,3,8500,88.01408410072327,1,True,True,True
171,2,5591,71.11113667488098,1,True,True,True
172,3,5738,59.954774379730225,1,True,True,True
173,5,9100,94.77328658103943,1,True,True,True
174,2,5591,59.916841983795166,1,True,True,True
175,3,8185,86.25177145004272,1,True,True,True
176,2,5591,75.5275309085846,1,True,True,True
177,4,8383,90.90802669525146,1,True,True,True
178,2,5629,77.3239016532898,1,True,True,True
179,1,3990,50.27487874031067,1,True,True,True
180,2,5001,55.27976751327515,1,True,True,True
181,3,6444,66.89057350158691,3,False,True,True
182,5,9100,94.93871331214905,1,True,True,True
183,5,8465,91.55264496803284,1,True,True,True
184,2,5092,74.8658299446106,1,True,True,True
185,3,5738,64.36309218406677,1,True,True,True
186,2,5629,62.142783403396606,1,True,True,True
187,1,3721,50.38285851478577,1,True,True,True
188,6,9038,94.40401792526245,1,True,True,True
189,2,5629,75.98676085472107,1,True,True,True
190,1,3002,36.50350868701935,2,False,True,True
191,2,5218,59.853219985961914,1,True,True,True
192,3,7284,87.36745119094849,1,True,True,True
193,2,3218,55.128657817840576,1,True,True,True
194,3,7284,88.12400102615356,1,True,True,True
195,5,7931,83.6276113986969,2,False,True,True
196,3,8185,87.31986284255981,1,True,True,True
197,1,3721,48.20723831653595,1,True,True,True
198,4,9290,92.60699152946472,1,True,True,True
199,3,8185,83.6870789527893,1,True,True,True
200,1,3721,52.30872631072998,1,True,True,True
201,2,5218,62.63145208358765,1,True,True,True
202,3,5756,58.96036624908447,1,True,True,True
203,3,5738,61.22000813484192,1,True,True,True
204,2,7227,64.71574306488037,1,True,True,True
205,2,5218,64.28577303886414,1,True,True,True
206,3,5081,56.17026090621948,2,False,True,True
207,1,3721,43.782541155815125,1,True,True,True
208,2,5850,66.94433689117432,1,True,True,True
209,1,2319,20.739610493183136,1,True,True,True
210,1,3721,39.32798504829407,2,False,True,True
211,2,4685,52.48342156410217,1,True,True,True
212,5,7616,83.91395211219788,1,True,True,True
213,3,5738,64.79044556617737,1,True,True,True
214,1,2319,20.424290001392365,7,False,False,True
215,3,7199,83.07976722717285,1,True,True,True
216,3,5869,76.97095274925232,1,True,True,True
217,2,5218,65.71134328842163,1,True,True,True
218,1,3218,46.27958536148071,1,True,True,True
219,2,3329,47.08465039730072,1,True,True,True
220,2,4300,48.303017020225525,2,False,True,True
221,4,8484,83.15947651863098,1,True,True,True
222,2,6385,74.45659041404724,1,True,True,True
223,1,3002,35.86059510707855,1,True,True,True
224,2,5715,59.15058255195618,1,True,True,True
225,3,8132,86.56205534934998,1,True,True,True
226,2,5591,75.48848986625671,1,True,True,True
227,2,5218,62.09246516227722,2,False,True,True
228,2,5851,65.16731977462769,1,True,True,True
229,4,5804,60.31191349029541,2,False,True,True
230,1,2319,40.25179445743561,1,True,True,True
231,3,7989,74.99549388885498,1,True,True,True
232,3,6684,73.67027401924133,1,True,True,True
233,1,2319,28.47006916999817,1,True,True,True
234,2,5850,71.17910385131836,1,True,True,True
235,3,6804,75.50569772720337,1,True,True,True
236,2,5218,56.54950737953186,1,True,True,True
237,3,6804,82.93408751487732,1,True,True,True
238,4,8903,90.99700450897217,1,True,True,True
239,2,5629,68.5883104801178,2,False,True,True
240,2,5218,60.99075675010681,1,True,True,True
241,2,5850,72.09221124649048,1,True,True,True
242,4,7468,81.39008283615112,1,True,True,True
243,3,6444,81.75978064537048,1,True,True,True
244,2,5218,62.76869177818298,1,True,True,True
245,3,6875,58.11921954154968,6,False,False,True
