method,fold_id,seed,query_fold_id,gallery_fold_id,num_train,num_query,num_gallery,R@1,R@5,R@10,mAP,tip_adapter_alpha,tip_adapter_beta,rs_transclip_alpha,ours_sigma,ours_num_steps,ours_lr,ours_lambda_m,ours_k,avg_query_fusion_ms,avg_query_optimization_ms,avg_gallery_fusion_ms,avg_gallery_optimization_ms
RGB-CLIP,0,42,0,1,16200,5400,5400,80.38889169692993,94.62962746620178,97.20370173454285,40.33809106403755,,,,,,,,,,,,
RGB-CLIP,1,42,1,2,16200,5400,5400,80.16666769981384,95.72222232818604,97.98148274421692,40.30641501148542,,,,,,,,,,,,
RGB-CLIP,2,42,2,3,16200,5400,5400,79.3333351612091,94.53703761100769,97.79629707336426,39.92708055716422,,,,,,,,,,,,
RGB-CLIP,3,42,3,4,16200,5400,5400,80.07407188415527,94.75926160812378,97.22222089767456,40.6074023268841,,,,,,,,,,,,
RGB-CLIP,4,42,4,0,16200,5400,5400,81.24074339866638,95.07407546043396,97.88888692855835,40.71328861914851,,,,,,,,,,,,
PCA,0,42,0,1,16200,5400,5400,83.38888883590698,96.18518352508545,98.03703427314758,42.87931927293539,,,,,,,,,,,,
PCA,1,42,1,2,16200,5400,5400,83.79629850387573,96.33333086967468,98.4074056148529,42.73265101050061,,,,,,,,,,,,
PCA,2,42,2,3,16200,5400,5400,83.74074101448059,96.3518500328064,98.31481575965881,42.50162921487181,,,,,,,,,,,,
PCA,3,42,3,4,16200,5400,5400,83.42592716217041,96.4814841747284,98.38888645172119,42.765112628539406,,,,,,,,,,,,
PCA,4,42,4,0,16200,5400,5400,83.7592601776123,95.96296548843384,98.24073910713196,42.839298817639545,,,,,,,,,,,,
NDVI,0,42,0,1,16200,5400,5400,83.03703665733337,95.96296548843384,97.7222204208374,45.726375647993,,,,,,,,,,,,
NDVI,1,42,1,2,16200,5400,5400,83.90740752220154,96.44444584846497,98.22221994400024,45.56685691664892,,,,,,,,,,,,
NDVI,2,42,2,3,16200,5400,5400,84.07407402992249,96.38888835906982,98.42592477798462,45.23698259462361,,,,,,,,,,,,
NDVI,3,42,3,4,16200,5400,5400,84.07407402992249,96.24074101448059,98.00000190734863,45.77768926853659,,,,,,,,,,,,
NDVI,4,42,4,0,16200,5400,5400,83.35185050964355,96.66666388511658,98.57407212257385,45.47286137020974,,,,,,,,,,,,
Tip-Adapter,0,42,0,1,16200,5400,5400,67.98148155212402,89.46296572685242,94.2037045955658,36.576065902701686,20.0,5.5,,,,,,,,,,
Tip-Adapter,1,42,1,2,16200,5400,5400,68.00000071525574,89.40740823745728,94.83333230018616,36.52769274609508,20.0,5.5,,,,,,,,,,
Tip-Adapter,2,42,2,3,16200,5400,5400,68.12962889671326,89.11111354827881,94.57407593727112,36.14614430525236,20.0,5.5,,,,,,,,,,
Tip-Adapter,3,42,3,4,16200,5400,5400,66.62963032722473,88.55555653572083,94.16666626930237,36.841467259313774,20.0,5.5,,,,,,,,,,
Tip-Adapter,4,42,4,0,16200,5400,5400,67.59259104728699,89.92592692375183,94.77777481079102,36.81316715899717,20.0,5.5,,,,,,,,,,
RS-TransCLIP,0,42,0,1,16200,5400,5400,78.90740633010864,92.46296286582947,95.40740847587585,43.19174786008618,,,0.3,,,,,,,,,
RS-TransCLIP,1,42,1,2,16200,5400,5400,78.79629731178284,92.72222518920898,95.68518400192261,43.06993374414742,,,0.3,,,,,,,,,
RS-TransCLIP,2,42,2,3,16200,5400,5400,77.44444608688354,91.31481647491455,94.8888897895813,42.784371108023656,,,0.3,,,,,,,,,
RS-TransCLIP,3,42,3,4,16200,5400,5400,77.94444561004639,91.75925850868225,94.66666579246521,43.444503153294875,,,0.3,,,,,,,,,
RS-TransCLIP,4,42,4,0,16200,5400,5400,79.7777771949768,92.62962937355042,95.48147916793823,43.5786034733195,,,0.3,,,,,,,,,
Ours,0,42,0,1,16200,5400,5400,84.48148369789124,96.29629850387573,98.03703427314758,45.019572967732394,,,,0.5,5.0,0.01,0.1,5.0,1.363404962572127,1.1296064387001765,1.389453329994231,1.2852500477230124
Ours,1,42,1,2,16200,5400,5400,85.6851875782013,96.46296501159668,98.03703427314758,44.86650073411012,,,,0.5,5.0,0.01,0.1,5.0,1.337588508567596,1.1056470189537828,1.3615249752223866,1.2592772781149337
Ours,2,42,2,3,16200,5400,5400,85.48148274421692,96.44444584846497,98.50000143051147,44.72392512844117,,,,0.5,5.0,0.01,0.1,5.0,1.2976704670641253,1.0614279972247056,1.315179508838574,1.2179834100350961
Ours,3,42,3,4,16200,5400,5400,84.12963151931763,96.16666436195374,98.00000190734863,44.90364290387542,,,,0.5,5.0,0.01,0.1,5.0,1.3982813109975756,1.1650583735926947,1.3917684913461994,1.2862014311448784
Ours,4,42,4,0,16200,5400,5400,85.33333539962769,96.74074053764343,98.4074056148529,45.49402721391784,,,,0.5,5.0,0.01,0.1,5.0,1.3503998864379592,1.1081599961767938,1.3437731491824336,1.2440175970388938
