query_index,query_label,AP_percent,first_hit_rank,hit@1,hit@5,hit@10,path,label_name,dataset_index
0,7,58.204853534698486,2,False,True,True,data/EuroSAT_MS/Residential/Residential_1854.tif,Residential,19450
1,3,22.311122715473175,1,True,True,True,data/EuroSAT_MS/Highway/Highway_43.tif,Highway,10868
2,6,32.753702998161316,1,True,True,True,data/EuroSAT_MS/PermanentCrop/PermanentCrop_2140.tif,PermanentCrop,17269
3,6,12.728042900562286,3,False,True,True,data/EuroSAT_MS/PermanentCrop/PermanentCrop_2154.tif,PermanentCrop,17284
4,5,16.51061624288559,1,True,True,True,data/EuroSAT_MS/Pasture/Pasture_391.tif,Pasture,15325
5,3,21.23674899339676,1,True,True,True,data/EuroSAT_MS/Highway/Highway_2463.tif,Highway,10627
6,3,36.32135093212128,1,True,True,True,data/EuroSAT_MS/Highway/Highway_924.tif,Highway,11417
7,1,63.33678960800171,1,True,True,True,data/EuroSAT_MS/Forest/Forest_1572.tif,Forest,3637
8,8,45.26276886463165,1,True,True,True,data/EuroSAT_MS/River/River_2259.tif,River,22900
9,0,60.82775592803955,1,True,True,True,data/EuroSAT_MS/AnnualCrop/AnnualCrop_189.tif,AnnualCrop,989
10,5,38.93929421901703,1,True,True,True,data/EuroSAT_MS/Pasture/Pasture_1249.tif,Pasture,14278
11,6,46.53120040893555,1,True,True,True,data/EuroSAT_MS/PermanentCrop/PermanentCrop_861.tif,PermanentCrop,18347
12,1,67.08059906959534,1,True,True,True,data/EuroSAT_MS/Forest/Forest_1205.tif,Forest,3230
13,2,30.972841382026672,1,True,True,True,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1771.tif,HerbaceousVegetation,6858
14,2,19.822323322296143,1,True,True,True,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1912.tif,HerbaceousVegetation,7015
15,2,50.55272579193115,1,True,True,True,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2023.tif,HerbaceousVegetation,7139
16,0,44.20146644115448,2,False,True,True,data/EuroSAT_MS/AnnualCrop/AnnualCrop_1651.tif,AnnualCrop,725
17,3,40.76732099056244,1,True,True,True,data/EuroSAT_MS/Highway/Highway_1733.tif,Highway,9816
18,6,33.26035439968109,1,True,True,True,data/EuroSAT_MS/PermanentCrop/PermanentCrop_591.tif,PermanentCrop,18047
19,4,51.5437126159668,1,True,True,True,data/EuroSAT_MS/Industrial/Industrial_2357.tif,Industrial,13009
20,1,63.71481418609619,1,True,True,True,data/EuroSAT_MS/Forest/Forest_2009.tif,Forest,4123
21,9,50.64975619316101,1,True,True,True,data/EuroSAT_MS/SeaLake/SeaLake_266.tif,SeaLake,25845
22,5,36.33357584476471,1,True,True,True,data/EuroSAT_MS/Pasture/Pasture_1600.tif,Pasture,14669
23,1,45.566827058792114,1,True,True,True,data/EuroSAT_MS/Forest/Forest_139.tif,Forest,3434
24,9,95.52609324455261,1,True,True,True,data/EuroSAT_MS/SeaLake/SeaLake_755.tif,SeaLake,26729
25,3,27.75363028049469,1,True,True,True,data/EuroSAT_MS/Highway/Highway_2488.tif,Highway,10654
26,7,22.416259348392487,1,True,True,True,data/EuroSAT_MS/Residential/Residential_2726.tif,Residential,20419
27,0,41.822946071624756,1,True,True,True,data/EuroSAT_MS/AnnualCrop/AnnualCrop_645.tif,AnnualCrop,2607
28,9,95.4659640789032,1,True,True,True,data/EuroSAT_MS/SeaLake/SeaLake_595.tif,SeaLake,26551
29,9,27.596232295036316,1,True,True,True,data/EuroSAT_MS/SeaLake/SeaLake_398.tif,SeaLake,26332
30,1,65.18627405166626,1,True,True,True,data/EuroSAT_MS/Forest/Forest_979.tif,Forest,5977
31,8,46.47544622421265,1,True,True,True,data/EuroSAT_MS/River/River_814.tif,River,23795
32,4,52.71345376968384,1,True,True,True,data/EuroSAT_MS/Industrial/Industrial_1567.tif,Industrial,12131
33,4,61.618006229400635,1,True,True,True,data/EuroSAT_MS/Industrial/Industrial_2137.tif,Industrial,12765
34,5,43.57016682624817,1,True,True,True,data/EuroSAT_MS/Pasture/Pasture_734.tif,Pasture,15706
35,3,25.566524267196655,5,False,True,True,data/EuroSAT_MS/Highway/Highway_825.tif,Highway,11307
36,4,74.26868081092834,1,True,True,True,data/EuroSAT_MS/Industrial/Industrial_1641.tif,Industrial,12214
37,7,14.556097984313965,15,False,False,False,data/EuroSAT_MS/Residential/Residential_100.tif,Residential,18502
38,0,52.4492084980011,1,True,True,True,data/EuroSAT_MS/AnnualCrop/AnnualCrop_257.tif,AnnualCrop,1745
39,6,24.24757331609726,1,True,True,True,data/EuroSAT_MS/PermanentCrop/PermanentCrop_2288.tif,PermanentCrop,17432
40,7,58.13937187194824,1,True,True,True,data/EuroSAT_MS/Residential/Residential_1872.tif,Residential,19470
41,8,36.51880621910095,1,True,True,True,data/EuroSAT_MS/River/River_995.tif,River,23995
42,3,30.201813578605652,1,True,True,True,data/EuroSAT_MS/Highway/Highway_1220.tif,Highway,9247
43,8,47.886061668395996,1,True,True,True,data/EuroSAT_MS/River/River_482.tif,River,23426
44,6,14.74904865026474,2,False,True,True,data/EuroSAT_MS/PermanentCrop/PermanentCrop_1829.tif,PermanentCrop,16922
45,9,95.45934200286865,1,True,True,True,data/EuroSAT_MS/SeaLake/SeaLake_1082.tif,SeaLake,24093
46,5,32.17892944812775,2,False,True,True,data/EuroSAT_MS/Pasture/Pasture_395.tif,Pasture,15329
47,2,26.118522882461548,1,True,True,True,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1009.tif,HerbaceousVegetation,6012
