split,split_position,dataset_index,label,label_name,path
train,0,13939,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_944.tif
train,1,19599,7,Residential,data/EuroSAT_MS/Residential/Residential_1989.tif
train,2,6717,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1644.tif
train,3,761,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_1684.tif
train,4,9991,3,Highway,data/EuroSAT_MS/Highway/Highway_1891.tif
train,5,18782,7,Residential,data/EuroSAT_MS/Residential/Residential_1252.tif
train,6,13710,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_738.tif
train,7,16234,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_1209.tif
train,8,13653,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_687.tif
train,9,5760,1,Forest,data/EuroSAT_MS/Forest/Forest_783.tif
train,10,25409,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_2267.tif
train,11,1811,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_2629.tif
train,12,18948,7,Residential,data/EuroSAT_MS/Residential/Residential_1401.tif
train,13,2404,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_462.tif
train,14,13448,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_501.tif
train,15,20953,7,Residential,data/EuroSAT_MS/Residential/Residential_506.tif
train,16,452,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_1405.tif
train,17,6837,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1752.tif
train,18,4115,1,Forest,data/EuroSAT_MS/Forest/Forest_2001.tif
train,19,14140,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_1124.tif
train,20,24357,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_132.tif
train,21,5120,1,Forest,data/EuroSAT_MS/Forest/Forest_2907.tif
train,22,15799,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_818.tif
train,23,6310,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1278.tif
train,24,12335,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_1750.tif
train,25,21001,7,Residential,data/EuroSAT_MS/Residential/Residential_55.tif
train,26,7853,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2667.tif
train,27,7031,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1927.tif
train,28,1070,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_1962.tif
train,29,6459,2,HerbaceousVegetation,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1411.tif
train,30,14330,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_1296.tif
train,31,17205,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_2083.tif
train,32,11876,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_1337.tif
train,33,21617,8,River,data/EuroSAT_MS/River/River_1103.tif
train,34,19794,7,Residential,data/EuroSAT_MS/Residential/Residential_2163.tif
train,35,23488,8,River,data/EuroSAT_MS/River/River_538.tif
train,36,20294,7,Residential,data/EuroSAT_MS/Residential/Residential_2613.tif
train,37,2003,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_2801.tif
train,38,23615,8,River,data/EuroSAT_MS/River/River_652.tif
train,39,24807,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_1725.tif
train,40,14115,5,Pasture,data/EuroSAT_MS/Pasture/Pasture_1101.tif
train,41,9482,3,Highway,data/EuroSAT_MS/Highway/Highway_1432.tif
train,42,10633,3,Highway,data/EuroSAT_MS/Highway/Highway_2469.tif
train,43,19352,7,Residential,data/EuroSAT_MS/Residential/Residential_1766.tif
train,44,1965,0,AnnualCrop,data/EuroSAT_MS/AnnualCrop/AnnualCrop_2768.tif
train,45,17195,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_2074.tif
train,46,9212,3,Highway,data/EuroSAT_MS/Highway/Highway_119.tif
train,47,12611,4,Industrial,data/EuroSAT_MS/Industrial/Industrial_2.tif
train,48,9738,3,Highway,data/EuroSAT_MS/Highway/Highway_1663.tif
train,49,24115,9,SeaLake,data/EuroSAT_MS/SeaLake/SeaLake_1101.tif
train,50,17291,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_2160.tif
train,51,17468,6,PermanentCrop,data/EuroSAT_MS/PermanentCrop/PermanentCrop_232.tif
