query_index,num_active_labels,num_relevant_gallery,AP_percent,first_hit_rank,hit@1,hit@5,hit@10,patch_name,label_names
0,4,8175,83.02306532859802,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_14_38,Arable land|Broad-leaved forest|Complex cultivation patterns|Urban fabric
1,3,6606,75.5865752696991,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_15_22,"Arable land|Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation"
2,2,4201,57.781821489334106,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_15_27,Arable land|Urban fabric
3,2,4201,64.263916015625,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_15_28,Arable land|Urban fabric
4,4,7990,84.17800664901733,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_15_40,Broad-leaved forest|Complex cultivation patterns|Coniferous forest|Mixed forest
5,2,7680,78.89084219932556,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_16_24,Arable land|Broad-leaved forest
6,1,3907,59.29359793663025,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_16_30,Arable land
7,4,8175,82.7364444732666,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_17_35,Arable land|Broad-leaved forest|Complex cultivation patterns|Urban fabric
8,2,7680,77.56964564323425,2,False,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_18_31,Arable land|Broad-leaved forest
9,3,7864,78.52902412414551,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_18_33,Arable land|Broad-leaved forest|Urban fabric
10,2,4201,61.48163080215454,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_19_34,Arable land|Urban fabric
11,2,4201,62.616097927093506,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_20_27,Arable land|Urban fabric
12,2,7680,77.90892124176025,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_22_28,Arable land|Broad-leaved forest
13,2,7680,79.72472906112671,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_29_13,Arable land|Broad-leaved forest
14,2,6487,74.17556047439575,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_13_19,Complex cultivation patterns|Transitional woodland/shrub
15,3,7641,88.94822001457214,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_13_34,"Broad-leaved forest|Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
16,4,6687,63.52412700653076,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_13_44,"Arable land|Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation|Urban fabric"
17,3,7270,81.77471160888672,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_13_47,"Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
18,4,4535,43.14761161804199,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_13_55,"Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation|Natural grassland and sparsely vegetated areas|Urban fabric"
19,6,9469,92.13719964027405,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_13_57,Arable land|Broad-leaved forest|Complex cultivation patterns|Mixed forest|Transitional woodland/shrub|Urban fabric
20,4,7501,76.32350325584412,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_13_58,Complex cultivation patterns|Mixed forest|Transitional woodland/shrub|Urban fabric
21,1,2268,26.4279305934906,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_13_73,Complex cultivation patterns
22,1,3907,42.19629764556885,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_13_76,Arable land
