query_index,query_label,AP_percent,first_hit_rank,hit@1,hit@5,hit@10,path,label_name
0,7,66.91211462020874,1,True,True,True,data/EuroSAT_MS/Residential/Residential_1854.tif,Residential
1,3,17.02413260936737,10,False,False,True,data/EuroSAT_MS/Highway/Highway_43.tif,Highway
2,6,39.11136090755463,1,True,True,True,data/EuroSAT_MS/PermanentCrop/PermanentCrop_2140.tif,PermanentCrop
3,6,25.262343883514404,1,True,True,True,data/EuroSAT_MS/PermanentCrop/PermanentCrop_2154.tif,PermanentCrop
4,5,45.49862742424011,1,True,True,True,data/EuroSAT_MS/Pasture/Pasture_391.tif,Pasture
5,3,35.783228278160095,1,True,True,True,data/EuroSAT_MS/Highway/Highway_2463.tif,Highway
6,3,17.91209727525711,4,False,True,True,data/EuroSAT_MS/Highway/Highway_924.tif,Highway
7,1,88.45710158348083,1,True,True,True,data/EuroSAT_MS/Forest/Forest_1572.tif,Forest
8,8,19.616547226905823,3,False,True,True,data/EuroSAT_MS/River/River_2259.tif,River
9,0,54.818058013916016,1,True,True,True,data/EuroSAT_MS/AnnualCrop/AnnualCrop_189.tif,AnnualCrop
10,5,56.18166923522949,1,True,True,True,data/EuroSAT_MS/Pasture/Pasture_1249.tif,Pasture
11,6,38.438886404037476,1,True,True,True,data/EuroSAT_MS/PermanentCrop/PermanentCrop_861.tif,PermanentCrop
12,1,89.2471194267273,1,True,True,True,data/EuroSAT_MS/Forest/Forest_1205.tif,Forest
13,2,32.75593817234039,1,True,True,True,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1771.tif,HerbaceousVegetation
14,2,42.69504249095917,1,True,True,True,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1912.tif,HerbaceousVegetation
15,2,56.28877878189087,1,True,True,True,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2023.tif,HerbaceousVegetation
16,0,47.25365340709686,1,True,True,True,data/EuroSAT_MS/AnnualCrop/AnnualCrop_1651.tif,AnnualCrop
17,3,28.788569569587708,1,True,True,True,data/EuroSAT_MS/Highway/Highway_1733.tif,Highway
18,6,31.12916350364685,1,True,True,True,data/EuroSAT_MS/PermanentCrop/PermanentCrop_591.tif,PermanentCrop
19,4,10.963833332061768,1,True,True,True,data/EuroSAT_MS/Industrial/Industrial_2357.tif,Industrial
20,1,82.43786096572876,1,True,True,True,data/EuroSAT_MS/Forest/Forest_2009.tif,Forest
21,9,66.86888337135315,1,True,True,True,data/EuroSAT_MS/SeaLake/SeaLake_266.tif,SeaLake
22,5,51.35304927825928,1,True,True,True,data/EuroSAT_MS/Pasture/Pasture_1600.tif,Pasture
23,1,90.16295075416565,1,True,True,True,data/EuroSAT_MS/Forest/Forest_139.tif,Forest
24,9,90.23189544677734,1,True,True,True,data/EuroSAT_MS/SeaLake/SeaLake_755.tif,SeaLake
25,3,18.20773482322693,8,False,False,True,data/EuroSAT_MS/Highway/Highway_2488.tif,Highway
26,7,43.7082976102829,1,True,True,True,data/EuroSAT_MS/Residential/Residential_2726.tif,Residential
27,0,41.075754165649414,1,True,True,True,data/EuroSAT_MS/AnnualCrop/AnnualCrop_645.tif,AnnualCrop
28,9,90.22884368896484,1,True,True,True,data/EuroSAT_MS/SeaLake/SeaLake_595.tif,SeaLake
29,9,23.942743241786957,1,True,True,True,data/EuroSAT_MS/SeaLake/SeaLake_398.tif,SeaLake
30,1,81.42707943916321,1,True,True,True,data/EuroSAT_MS/Forest/Forest_979.tif,Forest
31,8,40.936437249183655,1,True,True,True,data/EuroSAT_MS/River/River_814.tif,River
32,4,19.75478231906891,1,True,True,True,data/EuroSAT_MS/Industrial/Industrial_1567.tif,Industrial
33,4,22.701936960220337,2,False,True,True,data/EuroSAT_MS/Industrial/Industrial_2137.tif,Industrial
34,5,54.42199110984802,1,True,True,True,data/EuroSAT_MS/Pasture/Pasture_734.tif,Pasture
35,3,18.846453726291656,1,True,True,True,data/EuroSAT_MS/Highway/Highway_825.tif,Highway
