query_index,num_active_labels,num_relevant_gallery,AP_percent,first_hit_rank,hit@1,hit@5,hit@10,patch_name,label_names
0,4,8175,82.34485983848572,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_14_38,Arable land|Broad-leaved forest|Complex cultivation patterns|Urban fabric
1,3,6606,70.24936079978943,3,False,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_15_22,"Arable land|Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation"
2,2,4201,44.14086937904358,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_15_27,Arable land|Urban fabric
3,2,4201,57.65098333358765,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_15_28,Arable land|Urban fabric
4,4,7990,79.14729714393616,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_15_40,Broad-leaved forest|Complex cultivation patterns|Coniferous forest|Mixed forest
5,2,7680,80.28817772865295,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_16_24,Arable land|Broad-leaved forest
6,1,3907,53.88972759246826,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_16_30,Arable land
7,4,8175,82.75778889656067,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_17_35,Arable land|Broad-leaved forest|Complex cultivation patterns|Urban fabric
8,2,7680,79.6824038028717,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_18_31,Arable land|Broad-leaved forest
9,3,7864,80.49256205558777,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_18_33,Arable land|Broad-leaved forest|Urban fabric
10,2,4201,50.82219839096069,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_19_34,Arable land|Urban fabric
11,2,4201,57.61246681213379,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_20_27,Arable land|Urban fabric
12,2,7680,82.01708197593689,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_22_28,Arable land|Broad-leaved forest
13,2,7680,81.90262913703918,1,True,True,True,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_29_13,Arable land|Broad-leaved forest
14,2,6487,65.22867679595947,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_13_19,Complex cultivation patterns|Transitional woodland/shrub
15,3,7641,83.08389782905579,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_13_34,"Broad-leaved forest|Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
16,4,6687,66.62939786911011,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_13_44,"Arable land|Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation|Urban fabric"
17,3,7270,82.20100402832031,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_13_47,"Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
18,4,4535,47.91087210178375,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_13_55,"Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation|Natural grassland and sparsely vegetated areas|Urban fabric"
19,6,9469,96.5049684047699,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_13_57,Arable land|Broad-leaved forest|Complex cultivation patterns|Mixed forest|Transitional woodland/shrub|Urban fabric
20,4,7501,81.05413317680359,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_13_58,Complex cultivation patterns|Mixed forest|Transitional woodland/shrub|Urban fabric
21,1,2268,31.210175156593323,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_13_73,Complex cultivation patterns
22,1,3907,36.27910912036896,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_13_76,Arable land
23,2,4194,46.83791399002075,3,False,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_14_39,"Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation"
24,2,5089,62.04046607017517,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_14_74,Arable land|Complex cultivation patterns
25,2,5581,74.07793402671814,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_15_14,Broad-leaved forest|Natural grassland and sparsely vegetated areas
26,3,6971,73.31600189208984,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_15_18,Natural grassland and sparsely vegetated areas|Pastures|Transitional woodland/shrub
27,2,5089,51.11550688743591,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_15_39,Arable land|Complex cultivation patterns
28,3,6606,66.61412715911865,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_15_41,"Arable land|Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation"
29,4,8735,89.97079730033875,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_15_45,"Arable land|Complex cultivation patterns|Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub"
30,2,2600,34.243643283843994,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_15_55,Complex cultivation patterns|Urban fabric
31,2,5277,55.13482093811035,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_15_76,Arable land|Mixed forest
32,3,6827,71.59591317176819,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_16_18,"Land principally occupied by agriculture, with significant areas of natural vegetation|Transitional woodland/shrub|Urban fabric"
33,3,8146,83.63671898841858,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_16_38,Arable land|Complex cultivation patterns|Transitional woodland/shrub
34,4,9003,92.18498468399048,1,True,True,True,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_16_50,Arable land|Broad-leaved forest|Complex cultivation patterns|Transitional woodland/shrub
