query_index,query_label,AP_percent,first_hit_rank,hit@1,hit@5,hit@10,path,label_name
0,7,37.62141466140747,1,True,True,True,data/EuroSAT_MS/Residential/Residential_1854.tif,Residential
1,3,22.54146933555603,4,False,True,True,data/EuroSAT_MS/Highway/Highway_43.tif,Highway
2,6,27.713999152183533,1,True,True,True,data/EuroSAT_MS/PermanentCrop/PermanentCrop_2140.tif,PermanentCrop
3,6,24.33975487947464,8,False,False,True,data/EuroSAT_MS/PermanentCrop/PermanentCrop_2154.tif,PermanentCrop
4,5,16.22716933488846,3,False,True,True,data/EuroSAT_MS/Pasture/Pasture_391.tif,Pasture
5,3,40.77015519142151,1,True,True,True,data/EuroSAT_MS/Highway/Highway_2463.tif,Highway
6,3,33.51574242115021,1,True,True,True,data/EuroSAT_MS/Highway/Highway_924.tif,Highway
7,1,71.60191535949707,1,True,True,True,data/EuroSAT_MS/Forest/Forest_1572.tif,Forest
8,8,24.71611350774765,1,True,True,True,data/EuroSAT_MS/River/River_2259.tif,River
9,0,45.48212289810181,1,True,True,True,data/EuroSAT_MS/AnnualCrop/AnnualCrop_189.tif,AnnualCrop
10,5,29.18887436389923,7,False,False,True,data/EuroSAT_MS/Pasture/Pasture_1249.tif,Pasture
11,6,16.119948029518127,1,True,True,True,data/EuroSAT_MS/PermanentCrop/PermanentCrop_861.tif,PermanentCrop
12,1,80.49954175949097,1,True,True,True,data/EuroSAT_MS/Forest/Forest_1205.tif,Forest
13,2,34.90197956562042,1,True,True,True,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1771.tif,HerbaceousVegetation
14,2,25.490611791610718,1,True,True,True,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1912.tif,HerbaceousVegetation
15,2,56.9624662399292,1,True,True,True,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2023.tif,HerbaceousVegetation
16,0,27.955493330955505,5,False,True,True,data/EuroSAT_MS/AnnualCrop/AnnualCrop_1651.tif,AnnualCrop
17,3,25.742244720458984,1,True,True,True,data/EuroSAT_MS/Highway/Highway_1733.tif,Highway
18,6,19.44820284843445,1,True,True,True,data/EuroSAT_MS/PermanentCrop/PermanentCrop_591.tif,PermanentCrop
19,4,24.060973525047302,1,True,True,True,data/EuroSAT_MS/Industrial/Industrial_2357.tif,Industrial
20,1,71.37879729270935,1,True,True,True,data/EuroSAT_MS/Forest/Forest_2009.tif,Forest
21,9,95.75915336608887,1,True,True,True,data/EuroSAT_MS/SeaLake/SeaLake_266.tif,SeaLake
22,5,48.53334128856659,1,True,True,True,data/EuroSAT_MS/Pasture/Pasture_1600.tif,Pasture
23,1,73.36474657058716,1,True,True,True,data/EuroSAT_MS/Forest/Forest_139.tif,Forest
24,9,95.00010013580322,1,True,True,True,data/EuroSAT_MS/SeaLake/SeaLake_755.tif,SeaLake
25,3,20.587526261806488,5,False,True,True,data/EuroSAT_MS/Highway/Highway_2488.tif,Highway
26,7,18.560464680194855,1,True,True,True,data/EuroSAT_MS/Residential/Residential_2726.tif,Residential
27,0,35.08839309215546,1,True,True,True,data/EuroSAT_MS/AnnualCrop/AnnualCrop_645.tif,AnnualCrop
28,9,94.71363425254822,1,True,True,True,data/EuroSAT_MS/SeaLake/SeaLake_595.tif,SeaLake
29,9,48.911622166633606,1,True,True,True,data/EuroSAT_MS/SeaLake/SeaLake_398.tif,SeaLake
30,1,58.292293548583984,2,False,True,True,data/EuroSAT_MS/Forest/Forest_979.tif,Forest
31,8,20.916317403316498,2,False,True,True,data/EuroSAT_MS/River/River_814.tif,River
32,4,30.431827902793884,1,True,True,True,data/EuroSAT_MS/Industrial/Industrial_1567.tif,Industrial
33,4,64.47795629501343,1,True,True,True,data/EuroSAT_MS/Industrial/Industrial_2137.tif,Industrial
34,5,51.87235474586487,1,True,True,True,data/EuroSAT_MS/Pasture/Pasture_734.tif,Pasture
35,3,25.865593552589417,1,True,True,True,data/EuroSAT_MS/Highway/Highway_825.tif,Highway
36,4,30.600222945213318,1,True,True,True,data/EuroSAT_MS/Industrial/Industrial_1641.tif,Industrial
37,7,27.700746059417725,1,True,True,True,data/EuroSAT_MS/Residential/Residential_100.tif,Residential
38,0,49.32498037815094,1,True,True,True,data/EuroSAT_MS/AnnualCrop/AnnualCrop_257.tif,AnnualCrop
39,6,36.9297057390213,1,True,True,True,data/EuroSAT_MS/PermanentCrop/PermanentCrop_2288.tif,PermanentCrop
40,7,47.707101702690125,1,True,True,True,data/EuroSAT_MS/Residential/Residential_1872.tif,Residential
41,8,29.39048707485199,1,True,True,True,data/EuroSAT_MS/River/River_995.tif,River
42,3,33.04078280925751,1,True,True,True,data/EuroSAT_MS/Highway/Highway_1220.tif,Highway
43,8,50.11282563209534,1,True,True,True,data/EuroSAT_MS/River/River_482.tif,River
44,6,33.15142095088959,2,False,True,True,data/EuroSAT_MS/PermanentCrop/PermanentCrop_1829.tif,PermanentCrop
45,9,94.64589357376099,1,True,True,True,data/EuroSAT_MS/SeaLake/SeaLake_1082.tif,SeaLake
46,5,32.95983374118805,4,False,True,True,data/EuroSAT_MS/Pasture/Pasture_395.tif,Pasture
47,2,36.373284459114075,1,True,True,True,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1009.tif,HerbaceousVegetation
48,8,44.475361704826355,1,True,True,True,data/EuroSAT_MS/River/River_1662.tif,River
49,4,56.13091588020325,1,True,True,True,data/EuroSAT_MS/Industrial/Industrial_1060.tif,Industrial
50,1,79.50854897499084,1,True,True,True,data/EuroSAT_MS/Forest/Forest_839.tif,Forest
51,2,31.84659481048584,1,True,True,True,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2670.tif,HerbaceousVegetation
52,2,23.06775599718094,3,False,True,True,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_729.tif,HerbaceousVegetation
53,4,33.52966904640198,1,True,True,True,data/EuroSAT_MS/Industrial/Industrial_2383.tif,Industrial
54,1,54.30673956871033,1,True,True,True,data/EuroSAT_MS/Forest/Forest_250.tif,Forest
55,0,52.55807042121887,1,True,True,True,data/EuroSAT_MS/AnnualCrop/AnnualCrop_951.tif,AnnualCrop
56,2,53.89898419380188,1,True,True,True,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2344.tif,HerbaceousVegetation
57,5,13.539214432239532,4,False,True,True,data/EuroSAT_MS/Pasture/Pasture_1592.tif,Pasture
58,5,55.20491600036621,1,True,True,True,data/EuroSAT_MS/Pasture/Pasture_634.tif,Pasture
59,5,56.63694143295288,1,True,True,True,data/EuroSAT_MS/Pasture/Pasture_129.tif,Pasture
60,2,56.28477334976196,1,True,True,True,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_820.tif,HerbaceousVegetation
61,9,94.78787183761597,1,True,True,True,data/EuroSAT_MS/SeaLake/SeaLake_1461.tif,SeaLake
62,4,62.53671050071716,2,False,True,True,data/EuroSAT_MS/Industrial/Industrial_2268.tif,Industrial
63,5,13.652968406677246,1,True,True,True,data/EuroSAT_MS/Pasture/Pasture_755.tif,Pasture
64,6,23.1189027428627,1,True,True,True,data/EuroSAT_MS/PermanentCrop/PermanentCrop_2204.tif,PermanentCrop
65,6,22.750884294509888,1,True,True,True,data/EuroSAT_MS/PermanentCrop/PermanentCrop_487.tif,PermanentCrop
66,8,57.3051393032074,1,True,True,True,data/EuroSAT_MS/River/River_1430.tif,River
67,2,40.45884609222412,1,True,True,True,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1051.tif,HerbaceousVegetation
68,7,47.06164002418518,1,True,True,True,data/EuroSAT_MS/Residential/Residential_791.tif,Residential
69,1,73.78504276275635,1,True,True,True,data/EuroSAT_MS/Forest/Forest_2824.tif,Forest
70,3,22.290217876434326,1,True,True,True,data/EuroSAT_MS/Highway/Highway_358.tif,Highway
71,3,34.46044325828552,1,True,True,True,data/EuroSAT_MS/Highway/Highway_1707.tif,Highway
72,3,14.170774817466736,6,False,False,True,data/EuroSAT_MS/Highway/Highway_428.tif,Highway
73,1,65.34687876701355,1,True,True,True,data/EuroSAT_MS/Forest/Forest_1407.tif,Forest
74,0,34.06439125537872,1,True,True,True,data/EuroSAT_MS/AnnualCrop/AnnualCrop_1936.tif,AnnualCrop
75,8,49.19625222682953,1,True,True,True,data/EuroSAT_MS/River/River_457.tif,River
76,4,19.260644912719727,1,True,True,True,data/EuroSAT_MS/Industrial/Industrial_325.tif,Industrial
77,1,73.14339280128479,1,True,True,True,data/EuroSAT_MS/Forest/Forest_2742.tif,Forest
78,2,54.34693694114685,1,True,True,True,data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1869.tif,HerbaceousVegetation
79,3,34.63384509086609,3,False,True,True,data/EuroSAT_MS/Highway/Highway_1437.tif,Highway
