sample_position,dataset_index,path,label_name,query_text,num_bands,embedding_dim,per_band_encoding_ms,text_encoding_ms,affinity_ms,fiedler_ms,optimization_ms,total_inference_ms,total_with_text_ms,weights_sum,fused_l2_norm,num_opt_steps_run
1,4542,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Forest/Forest_2387.tif,Forest,A satellite image of forest.,13,512,519.1203,37.1933,0.2347,0.2179,3.9066,523.4795,560.6728,1.0,1.0,5
2,1781,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/AnnualCrop/AnnualCrop_2601.tif,AnnualCrop,A satellite image of annual crop land.,13,512,570.8529,34.8168,0.5288,0.1745,2.7386,574.2949,609.1117,1.0,1.0,5
3,1366,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/AnnualCrop/AnnualCrop_2228.tif,AnnualCrop,A satellite image of annual crop land.,13,512,470.2039,33.8864,0.2086,0.1898,3.1901,473.7925,507.6789,1.0,1.0,5
4,19963,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Residential/Residential_2315.tif,Residential,A satellite image of residential area.,13,512,523.8823,34.0355,0.2031,0.1882,4.4363,528.71,562.7455,1.0,1.0,5
5,16858,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/PermanentCrop/PermanentCrop_1771.tif,PermanentCrop,A satellite image of permanent crop land.,13,512,350.7564,11.9829,0.5028,0.1047,2.0245,353.3885,365.3714,1.0,1.0,5
6,17590,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/PermanentCrop/PermanentCrop_243.tif,PermanentCrop,A satellite image of permanent crop land.,13,512,495.8035,37.9062,0.2505,0.2141,3.1664,499.4344,537.3406,1.0,1.0,5
7,13132,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Industrial/Industrial_2468.tif,Industrial,A satellite image of industrial area.,13,512,430.7201,17.7134,0.1911,0.1557,2.848,433.9149,451.6282,1.0,1.0,5
8,7700,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2529.tif,HerbaceousVegetation,A satellite image of herbaceous vegetation.,13,512,520.7553,38.243,0.2525,0.2361,4.8667,526.1106,564.3536,1.0,1.0,5
9,18558,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Residential/Residential_1050.tif,Residential,A satellite image of residential area.,13,512,358.7941,12.3873,0.5402,0.0968,1.9137,361.3448,373.7321,1.0,1.0,5
10,14609,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Pasture/Pasture_1547.tif,Pasture,A satellite image of pasture land.,13,512,222.2697,12.1992,0.1008,0.0916,1.7857,224.2478,236.447,1.0,1.0,5
11,18618,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Residential/Residential_1104.tif,Residential,A satellite image of residential area.,13,512,231.2048,11.5594,0.0988,0.0911,1.8447,233.2393,244.7987,1.0,1.0,5
12,21024,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Residential/Residential_570.tif,Residential,A satellite image of residential area.,13,512,230.3577,12.3831,0.1067,0.0917,1.5475,232.1035,244.4867,1.0,1.0,5
13,17138,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/PermanentCrop/PermanentCrop_2022.tif,PermanentCrop,A satellite image of permanent crop land.,13,512,296.8741,12.0187,0.101,0.0888,2.0948,299.1586,311.1773,1.0,1.0,5
14,6124,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_111.tif,HerbaceousVegetation,A satellite image of herbaceous vegetation.,13,512,241.5298,12.1977,0.5328,0.0943,1.6798,243.8367,256.0345,1.0,1.0,5
15,16229,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/PermanentCrop/PermanentCrop_1204.tif,PermanentCrop,A satellite image of permanent crop land.,13,512,233.8099,12.597,0.4202,0.096,1.5652,235.8913,248.4884,1.0,1.0,5
16,13282,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Industrial/Industrial_352.tif,Industrial,A satellite image of industrial area.,13,512,247.8739,11.8293,0.115,0.0893,2.2972,250.3754,262.2047,1.0,1.0,5
17,21163,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Residential/Residential_696.tif,Residential,A satellite image of residential area.,13,512,460.8709,33.7421,0.249,0.2192,3.36,464.699,498.4411,1.0,1.0,5
18,14892,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Pasture/Pasture_1801.tif,Pasture,A satellite image of pasture land.,13,512,637.3993,35.6154,0.9267,0.2341,3.0292,641.5893,677.2047,1.0,1.0,5
19,7365,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2227.tif,HerbaceousVegetation,A satellite image of herbaceous vegetation.,13,512,537.0272,36.0995,0.2239,0.2104,4.0286,541.49,577.5895,1.0,1.0,5
20,16334,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/PermanentCrop/PermanentCrop_13.tif,PermanentCrop,A satellite image of permanent crop land.,13,512,501.2198,33.8538,0.234,0.2485,3.0475,504.7498,538.6035,1.0,1.0,5
