patch_name,query,total_ms,opt_ms,initial_loss,final_loss,weights_sum
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_12_23,A satellite image of complex cultivation patterns,841.03,2.26,0.0258,0.0248,1.0
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_25_51,A satellite image of complex cultivation patterns,315.15,1.58,0.0282,0.0272,1.0
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_28_23,A satellite image of complex cultivation patterns,241.8,1.44,0.0295,0.0279,1.0
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_33_71,A satellite image of complex cultivation patterns,236.43,1.46,0.03,0.029,1.0
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_40_04,A satellite image of complex cultivation patterns,232.67,1.56,0.0267,0.0258,1.0
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_42_18,A satellite image of complex cultivation patterns,235.64,1.44,0.0294,0.0288,1.0
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_44_10,A satellite image of complex cultivation patterns,232.53,1.36,0.0294,0.0283,1.0
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_45_42,A satellite image of complex cultivation patterns,233.21,1.84,0.0272,0.0263,1.0
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_47_49,A satellite image of complex cultivation patterns,237.26,1.26,0.0265,0.0257,1.0
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_67_63,A satellite image of complex cultivation patterns,235.72,1.34,0.027,0.0256,1.0
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_68_88,A satellite image of complex cultivation patterns,234.59,1.36,0.0291,0.0283,1.0
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_75_42,A satellite image of complex cultivation patterns,233.4,1.25,0.0273,0.026,1.0
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_84_83,A satellite image of complex cultivation patterns,235.5,1.39,0.0376,0.0348,1.0
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_89_13,A satellite image of complex cultivation patterns,231.95,1.34,0.0292,0.0279,1.0
